negPeakIdx;negAmp0;negAmp+1;negAmp-1;negAmp+2;negAmp-2;negAmp+3;negAmp-3;posAmp+1;posAmp-1;posAmp+2;posAmp-2;posAmp+3;posAmp-3;timeDif+1;timeDif-1;timeDif+2;timeDif-2;timeDif+3;timeDif-3;corr+1;corr-1;corr+2;corr-2;corr+3;corr-3;negPeakRatio+1;negPeakRatio-1;negPeakRatio+3;negPeakRatio-3;zcr;energy;hnr;specCentroid;specRollOff;mfcc0;mfcc1;f0
170;0.0024075957951848084;0.00084774499830451;0.0;0.0002373685995252628;0.0;0.000508646998982706;0.0;0.0054594777890810435;0.0;0.0004747371990505256;0.0;0.003051881993896236;0.0;1.7;0.0;2.0625;0.0;2.55625;0.0;0.6936395106086254;0.0;0.3012423234976959;0.0;0.5458983194001104;0.0;0.3521126760563381;0.0;0.2112676056338028;0.0;12;5.819205122440747;9.531323130989907;1921.2651196922366;5093.75;6.6350179884569345;-19.23222685734431;0.0
714;0.00084774499830451;0.0002373685995252628;0.0024075957951848084;0.000508646998982706;0.0;0.0009494743981010512;0.0;0.0004747371990505256;0.0054594777890810435;0.003051881993896236;0.0;0.0014242115971515768;0.0;0.3625;1.7;0.85625;0.0;1.234375;0.0;-0.11060382818162263;0.6936395106086254;0.8053210140012919;0.0;0.4042192058332477;0.0;0.28;2.84;1.12;0.0;30;5.911118210984213;9.064202277230546;2345.460398414545;5812.5;4.551765826415945;-27.449986534950146;0.0
830;0.0002373685995252628;0.000508646998982706;0.00084774499830451;0.0009494743981010512;0.0024075957951848084;0.0021024075957951846;0.0;0.003051881993896236;0.0004747371990505256;0.0014242115971515768;0.0054594777890810435;0.0025771447948457105;0.0;0.49375;0.3625;0.871875;2.0625;1.296875;0.0;0.3474533447107592;-0.11060382818162263;0.8981951101009296;0.3012423234976959;0.6248951199369929;0.0;2.142857142857143;3.571428571428572;8.857142857142854;0.0;42;6.291295105008558;4.6165745582837365;2835.998738550529;6218.75;6.7429964751036415;-25.020588110750126;0.0
988;0.000508646998982706;0.0009494743981010512;0.0002373685995252628;0.0021024075957951846;0.00084774499830451;0.0002034587995930824;0.0024075957951848084;0.0014242115971515768;0.003051881993896236;0.0025771447948457105;0.0004747371990505256;0.0018311291963377413;0.0054594777890810435;0.378125;0.49375;0.803125;0.85625;1.18125;2.55625;0.7474194739712736;0.3474533447107592;0.9593912477030958;0.8053210140012919;0.8314055066674638;0.5458983194001104;1.8666666666666667;0.4666666666666667;0.4;4.733333333333333;12;5.730693644174715;8.145356541055657;2038.8578063190719;5718.75;6.141693831007355;-20.07881816204036;0.0
1109;0.0009494743981010512;0.0021024075957951846;0.000508646998982706;0.0002034587995930824;0.0002373685995252628;0.0009155645981688707;0.00084774499830451;0.0025771447948457105;0.0014242115971515768;0.0018311291963377413;0.003051881993896236;0.0026788741946422515;0.0004747371990505256;0.425;0.378125;0.803125;0.871875;1.225;1.234375;0.8888139450760808;0.7474194739712736;0.9575423056446852;0.8981951101009296;0.8883360432813663;0.4042192058332477;2.2142857142857126;0.5357142857142857;0.9642857142857142;0.8928571428571429;16;5.8515742593340345;9.596123740405867;2571.6265690610808;6156.25;7.016690175725823;-20.557481666049345;0.0
1245;0.0021024075957951846;0.0002034587995930824;0.0009494743981010512;0.0009155645981688707;0.000508646998982706;0.0006442861987114276;0.0002373685995252628;0.0018311291963377413;0.0025771447948457105;0.0026788741946422515;0.0014242115971515768;0.0020684977958630047;0.003051881993896236;0.378125;0.425;0.8;0.803125;1.2;1.296875;0.920257828053693;0.8888139450760808;0.996881783122745;0.9593912477030958;0.9956332981361172;0.6248951199369929;0.09677419354838712;0.4516129032258065;0.3064516129032259;0.11290322580645162;16;6.058511288297164;12.490148036947787;2185.470311343124;5468.75;6.0108298865290175;-24.106711086010623;0.0
1366;0.0002034587995930824;0.0009155645981688707;0.0021024075957951846;0.0006442861987114276;0.0009494743981010512;0.0004408273991183452;0.000508646998982706;0.0026788741946422515;0.0018311291963377413;0.0020684977958630047;0.0025771447948457105;0.002000678195998644;0.0014242115971515768;0.421875;0.378125;0.821875;0.803125;1.2875;1.18125;0.9236195779707352;0.920257828053693;0.9519886153070916;0.9575423056446852;0.8863512504986637;0.8314055066674638;4.499999999999999;10.333333333333332;2.166666666666667;2.5;16;5.5340715070138335;8.271346456581254;2141.765323007576;5500.0;4.7215304380995615;-22.697579794189664;0.0
1501;0.0009155645981688707;0.0006442861987114276;0.0002034587995930824;0.0004408273991183452;0.0021024075957951846;0.001186842997626314;0.0009494743981010512;0.0020684977958630047;0.0026788741946422515;0.002000678195998644;0.0018311291963377413;0.0013224821973550356;0.0025771447948457105;0.4;0.421875;0.865625;0.8;1.2625;1.225;0.9974328609891141;0.9236195779707352;0.9482269773708224;0.996881783122745;0.9430875102902908;0.8883360432813663;0.7037037037037038;0.22222222222222224;1.2962962962962965;1.0370370370370372;12;6.494328915882822;15.239304445523025;2324.778959832315;5875.0;4.9312879168458945;-31.11348362355957;0.0
1629;0.0006442861987114276;0.0004408273991183452;0.0009155645981688707;0.001186842997626314;0.0002034587995930824;0.0007121057985757884;0.0021024075957951846;0.002000678195998644;0.0020684977958630047;0.0013224821973550356;0.0026788741946422515;0.001865038996269921;0.0018311291963377413;0.465625;0.4;0.8625;0.821875;1.3;1.2;0.9412041733267518;0.9974328609891141;0.9531373475286172;0.9519886153070916;0.9551609230402464;0.9956332981361172;0.6842105263157895;1.4210526315789471;1.1052631578947367;3.2631578947368416;14;5.716042174892527;10.891000159061015;2120.382880400029;5468.75;3.8850404096635014;-25.971451427950395;0.0
1778;0.0004408273991183452;0.001186842997626314;0.0006442861987114276;0.0007121057985757884;0.0009155645981688707;0.0011190233977619534;0.0002034587995930824;0.0013224821973550356;0.002000678195998644;0.001865038996269921;0.0020684977958630047;0.0015598507968802985;0.0026788741946422515;0.396875;0.465625;0.834375;0.865625;1.234375;1.2875;0.9714920171907641;0.9412041733267518;0.9911817127477248;0.9482269773708224;0.9594500329053894;0.8863512504986637;2.692307692307692;1.4615384615384617;2.5384615384615388;0.4615384615384615;24;5.629266402926993;7.347541005462498;2702.3297973829585;6156.25;4.93793184085752;-23.008916298958173;0.0
